2011-09-04 14:27:38 Debug: Notice (8): Undefined variable: existe in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestras\palestra.ctp, line 1]
2011-09-04 14:51:02 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:03 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:04 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:05 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:05 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:11 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:11 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:11 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:11 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:12 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
