2011-09-04 13:55:54 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:55:55 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:56:26 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:56:26 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:57:24 Warning: Warning (2): Missing argument 2 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:57:24 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:57:24 Warning: Warning (2): Missing argument 2 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:57:24 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:59:46 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 14:02:17 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 14:50:51 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Palestra.id' in 'order clause'</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 15:05:37 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 11]
